Crater ID,approximate latitude,approximate longitude,Comments
N01,28.14,317.2,Likely pair: M1114455272LR/M183811456LR
N02,22.601,251.538,"Likely pair: M1134899209RC/M1180833524RC
"
N03,27.183,288.646,Likely pair: M1116998293LC/M186356161LC
N04,-16.551,314.583,Likely pair: M1178053993LR/M1132142189LR
N05,42.4,260.45,Likely pair: M1180784160LR/M1150172405LR
N06,-5.957,343.503,Likely pair: M1162569078LR/M1101317107LR
N07,7.68345,6.31564,Likely pair: M1136513035LC/M1105881310RC
N08,-6.38995,267.85256,Likely pair: M1150107355LR/M173525437LR
N09,-15.78084,320.20131,Likely pair: M1182728836LR/M190858698LR
N10,10.17295,332.3255,Likely pair: M1106102768LR/M1167348060LR
N11,-34.78725,319.65445,Likely pair: M1116783972RC / M1178018119RC
N12,20.62497,193.29419,Likely pair: M1163543375RC/M1148250115LC
N13,-7.30832,225.97095,Likely pair: M186762974RC/M1148028911RC
N14,-3.12758,329.399,Likely pair: M190801768LC/M1182672274RC
N15,27.70728,79.63191,Likely pair: M1120727200RC/M1181962759RC
N16,-26.94396,43.78401,Likely pair: M1146854755LC/M1116230099LC
N17,30.22217,88.62174,Likely pair: M1181905986RC/ M1105330788RC
N18,-47.05038,187.35226,Likely pair: M171693563RC/M1117650375LC
N19,7.77073,6.49037,Likely pair: M1131800591LC/M1162419320RC
N20,-7.63023,45.84433,Likely pair: M1162163358LC/M1131544913LC
N21,33.85995,34.33956,Likley pair: M1100980603RC/M1146934185RC
N22,10.47733,67.7842,Likely pair: M1103116780RC/M1149068473LC
N23,-14.75299,86.0741,Likely pair: M1103002991RC/ M1164255598RC
N24,2.22704,142.23619,Likley pair: M1150933186RC/M1181543201RC
N25,23.98543,102.37069,Cannot find NAC pair 
N26,-23.25798,24.01439,Likely pair: M172765607RC/ M1179951394RC